ID,Block Number,Restriction,Time Limit,Street,Payment Time,Total Space,Hourly Rate,Mobile Payment Number,Pay Type,Business Zone,Center Point,Line
2383,4484,"AM, PM",2 HOUR,Portage Ave E,0900 - 1530,2,1.75,204376,"Paystation, PaybyPhone",Downtown,POINT (-97.1360290592671 49.8947915243991),"MULTILINESTRING ((-97.1359416364486 49.8947632572087, -97.1361164811773 49.8948197911969))"
80,3378,NONE,2 HOUR,Rupert Ave,0800 - 1730,5,1.75,204569,"Paystation, PaybyPhone",Exchange,POINT (-97.1358648653716 49.9003668539675),"MULTILINESTRING ((-97.1356495325059 49.9002981037998, -97.1360801987575 49.9004356037067))"
2519,4528,NONE,2 HOUR,Colony St,0800 - 1730,2,1.75,204246,"Paystation, PaybyPhone",Downtown,POINT (-97.151066271916 49.8897175458421),"MULTILINESTRING ((-97.1510714572533 49.8896594033592, -97.1510610866257 49.8897756876569))"
2305,3206,NONE,2 HOUR,Main St,0800 - 1730,1,1.75,204344,"Paystation, PaybyPhone",Downtown,POINT (-97.1358630082565 49.9028503366818),"MULTILINESTRING ((-97.1358894726292 49.9028171748436, -97.1358365450648 49.9028834969887))"
509,3102,NONE,2 HOUR,James Ave,0800 - 1730,4,2.75,204306,"Paystation, PaybyPhone",Downtown,POINT (-97.1384337171386 49.900303864665),"MULTILINESTRING ((-97.1383089304547 49.9002639976725, -97.1385585020524 49.9003437308922))"
396,PBP-182,NONE,2 HOUR,St Mary Ave,0800 - 1730,4,1.75,204408,PaybyPhone Only,Downtown,POINT (-97.1415125807455 49.8907900621927),"MULTILINESTRING ((-97.1413090567261 49.8908363021416, -97.1417161041101 49.8907438219478))"
2241,3204,NONE,4 HOUR,Bannatyne Ave,0800 - 1730,5,2.75,204600,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.1622757139915 49.9051387655672),"MULTILINESTRING ((-97.1620859680691 49.90507784688, -97.1621019648415 49.9050829827185, -97.162465442219 49.9051996781178))"
119,PBP-058,NONE,2 HOUR,Princess St,0800 - 1730,3,1.75,204383,PaybyPhone Only,Downtown,POINT (-97.139419366792 49.9020961953572),"MULTILINESTRING ((-97.1394787466425 49.9020186707371, -97.1394713134796 49.9020283750637, -97.1393599844355 49.9021737232116))"
1075,4240,NONE,2 HOUR,Fort St,0800 - 1730,5,1.75,204277,"Paystation, PaybyPhone",Downtown,POINT (-97.1368592254907 49.8897496829091),"MULTILINESTRING ((-97.1367882233851 49.8896183998529, -97.136930228046 49.8898809660394))"
483,3168,NONE,2 HOUR,Notre Dame Ave,0800 - 1730,5,1.75,204351,"Paystation, PaybyPhone",Downtown,POINT (-97.1453541998583 49.8969330262908),"MULTILINESTRING ((-97.1451102404356 49.8968548409607, -97.1455981603358 49.8970112111937))"
2863,4919,NONE,2 HOUR,King St,0800 - 1730,2,1.75,204321,"Paystation, PaybyPhone",Downtown,POINT (-97.1375082038477 49.9028371008487),"MULTILINESTRING ((-97.1375553938073 49.9027754315239, -97.1374610133504 49.9028987706994))"
465,4522,NONE,2 HOUR,Adelaide St,0800 - 1730,3,1.75,204201,"Paystation, PaybyPhone",Downtown,POINT (-97.1432578187743 49.8987951089922),"MULTILINESTRING ((-97.1433045191601 49.8987347888876, -97.1432111195587 49.8988554274157))"
2304,PBP-079,NONE,2 HOUR,Princess St,0800 - 1730,2,1.75,204386,PaybyPhone Only,Downtown,POINT (-97.1380991096123 49.9038299211734),"MULTILINESTRING ((-97.1381360423519 49.9037817057138, -97.1380621738769 49.9038781404358))"
232,PBP-203,PM,2 HOUR,Portage Ave,0800 - 1530,2,1.75,204374,"Paystation, PaybyPhone",Downtown,POINT (-97.1536298169173 49.8897765812046),"MULTILINESTRING ((-97.1535681686407 49.8897973876042, -97.1536914613876 49.889755776039))"
1035,PBP-156,"AM, PM",2 HOUR,Colony St,0900 - 1530,5,1.75,204245,PaybyPhone Only,Downtown,POINT (-97.1509207246446 49.8914299570303),"MULTILINESTRING ((-97.1508622175782 49.8913241090959, -97.1509792321514 49.8915358052677))"
940,4879,NONE,2 HOUR,Hargrave St,0800 - 1730,3,1.75,204296,"Paystation, PaybyPhone",Downtown,POINT (-97.1402529105826 49.8848722373046),"MULTILINESTRING ((-97.1402070239843 49.8847876920136, -97.140298797655 49.8849567831548))"
210,PBP-200,NONE,2 HOUR,Main St,0800 - 1730,4,1.75,204343,PaybyPhone Only,Downtown,POINT (-97.1351440338221 49.9031746579809),"MULTILINESTRING ((-97.1352349248918 49.9030607568667, -97.1350531418742 49.9032885595868))"
136,7214,NONE,2 HOUR,Albert St,0800 - 1730,9,2.75,204487,"Paystation, PaybyPhone",Exchange,POINT (-97.1405636673173 49.8958898348415),"MULTILINESTRING ((-97.1406693866476 49.8957521931614, -97.1405515760823 49.8959055770142, -97.1404579491525 49.8960274741059))"
2301,PBP-212,NONE,2 HOUR,Waterfront Dr,0800 - 1730,7,1.75,204429,"Paystation, PaybyPhone",Downtown,POINT (-97.1316713408514 49.892852458297),"MULTILINESTRING ((-97.1317668277332 49.8926696023807, -97.1316823152766 49.8928294540578, -97.1316360965523 49.8929263361145, -97.1316138747691 49.8929729444447, -97.1315895083771 49.8930379790139))"
728,PBP-114,NONE,2 HOUR,Bannatyne Ave,0800 - 1730,3,1.75,204212,PaybyPhone Only,Downtown,POINT (-97.1454633081567 49.8997498748954),"MULTILINESTRING ((-97.1453272103695 49.8997061561642, -97.1455994077577 49.8997935939708))"
1142,PBP-077,NONE,2 HOUR,King St,0800 - 1730,1,1.75,204318,PaybyPhone Only,Downtown,POINT (-97.1369816074295 49.9035180410741),"MULTILINESTRING ((-97.1369979364833 49.9034967009018, -97.1369652750482 49.9035393855739))"
2200,4912,PM,2 HOUR,McDermot Ave,0800 - 1530,3,1.75,204546,"Paystation, PaybyPhone",Exchange,POINT (-97.1429385391567 49.8979359539533),"MULTILINESTRING ((-97.1427927265133 49.8978891220163, -97.1430843511311 49.8979827854017))"
1078,4243,NONE,2 HOUR,Fort St,0800 - 1730,5,1.75,204278,"Paystation, PaybyPhone",Downtown,POINT (-97.1370867305675 49.8897894154203),"MULTILINESTRING ((-97.1370061083676 49.8896403463001, -97.1371673530445 49.8899384840761))"
490,PBP-014,NONE,2 HOUR,Martha St,0800 - 1730,3,1.75,204539,PaybyPhone Only,Exchange,POINT (-97.1349732000629 49.901293726291),"MULTILINESTRING ((-97.1350194629456 49.9012332615241, -97.1350160015372 49.9012377855295, -97.1350136296068 49.9012408856041, -97.1350133969857 49.9012411896361, -97.1349269423051 49.9013541841893))"
604,4243,NONE,2 HOUR,Fort St,0800 - 1730,2,1.75,204278,"Paystation, PaybyPhone",Downtown,POINT (-97.1367221053132 49.8891071962153),"MULTILINESTRING ((-97.1366991319199 49.8890647561778, -97.1367450793793 49.8891496374166))"
343,4537,NONE,2 HOUR,Hargrave St,0800 - 1730,2,1.75,204799,"Paystation, PaybyPhone",West End,POINT (-97.1463931544141 49.8961355393512),"MULTILINESTRING ((-97.1463859996382 49.8960928262725, -97.1464003094797 49.8961782540832))"
1042,4163,NONE,2 HOUR,Hargrave St,0800 - 1730,4,1.75,204292,"Paystation, PaybyPhone",Downtown,POINT (-97.1434270995846 49.8909880492458),"MULTILINESTRING ((-97.1433589201416 49.8908624728486, -97.1434952785315 49.8911136240357))"
765,7239,"AM, PM",2 HOUR,Broadway,0900 - 1530,1,1.75,204234,"Paystation, PaybyPhone",Downtown,POINT (-97.139187658491 49.8880008018135),"MULTILINESTRING ((-97.139154823902 49.8880082473537, -97.1392204872309 49.8879933575882))"
2243,3202,NONE,4 HOUR,William Ave,0800 - 1730,3,2.75,204637,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.1598843848748 49.9054664923105),"MULTILINESTRING ((-97.1597536938132 49.9054245318081, -97.1600150781324 49.9055084532981))"
296,4168,NONE,2 HOUR,Edmonton St,0800 - 1730,6,2.75,204267,"Paystation, PaybyPhone",Downtown,POINT (-97.1461642728212 49.8906349741523),"MULTILINESTRING ((-97.1460951979314 49.8905077821761, -97.1462333484872 49.8907621668462))"
1177,3425,NONE,2 HOUR,King St,0800 - 1730,1,2.75,204514,"Paystation, PaybyPhone",Exchange,POINT (-97.1406793401232 49.8988629647357),"MULTILINESTRING ((-97.1406949758096 49.8988428812244, -97.1406637039158 49.8988830488974))"
1876,3113,"AM, PM",2 HOUR,Balmoral St,0900 - 1530,11,1.75,204210,"Paystation, PaybyPhone",Downtown,POINT (-97.1526753322476 49.8921106231191),"MULTILINESTRING ((-97.1526944544939 49.8917699877138, -97.1526573655973 49.8924306688558, -97.1526624305513 49.8924510177388))"
188,PBP-195,NONE,2 HOUR,Waterfront Dr,0800 - 1730,3,1.75,204572,PaybyPhone Only,Exchange,POINT (-97.1332734208396 49.8956286842356),"MULTILINESTRING ((-97.1332270373085 49.8955439099961, -97.1333198052045 49.8957134596826))"
274,PBP-083,"AM, PM",2 HOUR,York Ave,0900 - 1530,3,1.75,204457,PaybyPhone Only,Downtown,POINT (-97.1508085057854 49.8875191622313),"MULTILINESTRING ((-97.1506627388883 49.8875140955021, -97.1509542685273 49.8875242286323))"
699,PBP-007,NONE,4 HOUR,Tecumseh St,0800 - 1730,2,2.75,204634,PaybyPhone Only,Health Science Centre,POINT (-97.1637541087806 49.9049266992732),"MULTILINESTRING ((-97.1638001691483 49.9048667117993, -97.1637080498675 49.9049866846853))"
1999,4854,NONE,4 HOUR,Tecumseh St,0800 - 1730,1,2.75,204633,"Paystation, PaybyPhone",Health Science Centre,POINT (-97.163262032104 49.9055644327679),"MULTILINESTRING ((-97.1632857826278 49.905533504812, -97.1632633802597 49.9055626799983, -97.1632382522986 49.9055953494385))"
142,PBP-034,NONE,2 HOUR,Arthur St,0800 - 1730,3,2.75,204494,PaybyPhone Only,Exchange,POINT (-97.1415018234784 49.8967803767014),"MULTILINESTRING ((-97.141548603916 49.8967200829684, -97.1414550439894 49.8968406690421))"
